"Filing Date","Document Type","Filed By","Description"
"January 09, 2020","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=323767228""><span style=""color:blue""><u>RULING</u></span></a>","ALJ/FITCH/CPUC","Administrative Law Judge’s Ruling Seeking Comment on Upstream Lighting Program Impact Evaluation for Program Year 2017 [Southern California Edison Company and San Diego Gas & Electric Company shall file and serve responses to this ruling and its questions by no later than January 31, 2020. Interested parties may file and serve comments on this ruling, its questions, and the responses filed and served by Southern California Edison Company and San Diego Gas & Electric Company no later than February 14, 2020. Interested parties may file and serve reply comments in response to this ruling and its questions by no later than February 28, 2020] "
"January 07, 2020","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=323689311""><span style=""color:blue""><u>RULING</u></span></a>","ALJ/KAO/CPUC","Administrative Law Judge’s Ruling Issuing Revised Rulebook for Programs and Projects Leveraging Normalized Metered Energy Consumption"
"December 17, 2019","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=322134227""><span style=""color:blue""><u>RULING</u></span></a>","CMMR/RANDOLPH/CPUC","ORDER TO SHOW CAUSE DIRECTING SOUTHERN CALIFORNIA GAS COMPANY TO ADDRESS SHAREHOLDER INCENTIVES FOR CODES AND STANDARDS ADVOCACY EXPENDITURES. (1) SoCalGas' response due January 3, 2020. (2) All other parties' responses due January 17, 2020.(3) Reply comments due January 31, 2020. "
"December 12, 2019","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=322791717""><span style=""color:blue""><u>EXPARTE</u></span></a>","CPUC/COMMR/BATJER","[Decisionmaker] Notice of Ex Parte Communication. Joshua Huneycutt, Interim Energy Advisor to President Marybel Batjer had an ex parte communication with Public Advocates Office on November 19, 2019 from 2:30 pm to approximately 3:00 pm. "
"December 12, 2019","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=322791821""><span style=""color:blue""><u>EXPARTE</u></span></a>","CPUC/COMMR/BATJER","[Decisionmaker] Notice of Ex Parte Communication. Joshua Huneycutt, Interim Energy Advisor to President Marybel Batjer had an ex parte communication with Public Advocates Office on December 2, 2019 from 1:30 pm to approximately 2:00 pm. "
"December 05, 2019","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=322791816""><span style=""color:blue""><u>EXPARTE</u></span></a>","CPUC / Commissioner Randolph's Office / Chief of Staff Peterson","[Decisionmaker] Notice of Ex Parte Communication. Commissioner Randolph’s Chief of Staff Rachel Peterson and advisor Jason Ortego had an ex parte communication with Public Advocates Office on November 20, 2019 at approximately 1:30 pm.  "
"December 05, 2019","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=321507615""><span style=""color:blue""><u>DECISION</u></span></a>","-","Decision D1912021 - Decision Regarding Frameworks For Energy Efficiency Regional Energy Network And Market Transformation."
"December 04, 2019","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=322791812""><span style=""color:blue""><u>EXPARTE</u></span></a>","CPUC/Sandy Goldberg/Advisor","[Decisionmaker] Notice of Ex Parte Communication. Sandy Goldberg, Advisor to Commissioner Rechtschaffen had an ex parte communication with Public Advocates Office on November 14, 2019 at 9:30 am to 10:00 am. "
"December 03, 2019","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=321870867""><span style=""color:blue""><u>EXPARTE</u></span></a>","CAL ADVOCATES/TRIMMING/CPUC","Cal Advocates noticed an oral ex parte communication with Joshua Huneycutt, Advisor to President Marybel Batjer on December 2, 2019 at the Commission’s offices in San Francisco, California."
"December 02, 2019","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=320909779""><span style=""color:blue""><u>SCOPING RULING</u></span></a>","CMMR/RANDOLPH/CPUC","ASSIGNED COMMISSIONER’S AMENDED SCOPING MEMO AND RULING FOR ORDER TO SHOW CAUSE AGAINST SOUTHERN CALIFORNIA GAS COMPANY. The scope and schedule are as set forth; the OSC portion of this proceeding is categorized as adjudicatory; and evidentiary hearings are needed."
"November 25, 2019","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=321320950""><span style=""color:blue""><u>COMMENTS</u></span></a>","Southern California Gas Company,San Diego Gas & Electric Company","Reply comments on Proposed Decision regarding frameworks for energy efficiency regional energy networks and market transformation (filing is considered timely because e-file system has been down and was up running on 11/19/2019)."
"November 22, 2019","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=320382374""><span style=""color:blue""><u>NOTICE</u></span></a>","CAL ADVOCATES/TRIMMING/CPUC","Three-Day Advance Notice of Ex Parte Communications"
"November 21, 2019","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=319819042""><span style=""color:blue""><u>NOTICE</u></span></a>","Sierra Club","of intent to claim intervenor compensation"
"November 21, 2019","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=320817141""><span style=""color:blue""><u>EXPARTE</u></span></a>","Cal Advocates/TRIMMING/CPUC","Notice of Ex Parte Communications. The Public Advocates Office had ex parte meetings with Joshua Huneycutt, advisor to President Batjer on November 19, 2019 from 2:30 pm to approximately 3:00 pm and with Rachel Peterson, Chief of Staff to Commissioner Randolph, and Jason Ortega, advisor to Commissioner Randolph on November 20, 2019 from 1:30 pm to approximately 1:50 pm. "
"November 20, 2019","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=321319499""><span style=""color:blue""><u>COMMENTS</u></span></a>","California Efficiency + Demand Management Council","Reply comments on the Proposed Decision regarding frameworks for energy efficiency regional energy networks and market transformation (filing is considered timely because e-file system has been down and was up running on 11/19/2019)."
"November 20, 2019","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=321586849""><span style=""color:blue""><u>RESPONSE</u></span></a>","Southern California Gas Company","RESPONSE TO ADMINISTRATIVE LAW JUDGE’S EMAIL RULING DATED 11/13/19 CONFIRMING BALANCING ACCOUNT INFORMATION"
"November 20, 2019","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=321474461""><span style=""color:blue""><u>COMMENTS</u></span></a>","Small Business Utility Advocates","Reply comments on the Proposed Decision regarding frameworks for energy efficiency regional energy networks and market transformation (filing is considered timely because e-file system has been down and was up running on 11/19/2019)."
"November 19, 2019","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=320714582""><span style=""color:blue""><u>COMMENTS</u></span></a>","Association of Bay Area Governments","Reply comments on the Proposed Decision regarding frameworks for energy efficiency regional energy networks and market transformation (filing is considered timely because e-file system has been down and was up running on 11/19/2019)."
"November 19, 2019","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=320829906""><span style=""color:blue""><u>COMMENTS</u></span></a>","County of Ventura","Reply comments on the Proposed Decision regarding frameworks for energy efficiency regional energy networks and market transformation (filing is considered timely because e-file system has been down and was up running on 11/19/2019)."
"November 19, 2019","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=320817194""><span style=""color:blue""><u>COMMENTS</u></span></a>","Natural Resources Defense Council","Reply comments on the Proposed Decision regarding frameworks for energy efficiency regional energy networks and market transformation (filing is considered timely because e-file system has been down and was up running on 11/19/2019)."
"November 19, 2019","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=320829901""><span style=""color:blue""><u>COMMENTS</u></span></a>","Southern California Edison Company","Reply comments on Proposed Decision regarding frameworks for energy efficiency regional energy networks and market transformation (filing is considered timely because e-file system has been down and was up running on 11/19/2019)."
"November 19, 2019","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=319971099""><span style=""color:blue""><u>COMMENTS</u></span></a>","CAL ADVOCATES/TRIMMING/CPUC","Reply comments on the Proposed Decision regarding frameworks for energy efficiency regional energy networks and market transformation (filing is considered timely because e-file system has been down and was up running on 11/19/2019)."
"November 19, 2019","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=319971098""><span style=""color:blue""><u>COMMENTS</u></span></a>","Southern California Regional Energy Network","Reply comments on the Proposed Decision regarding frameworks for energy efficiency regional energy networks and market transformation (filing is considered timely because e-file system has been down and was up running on 11/19/2019)."
"November 19, 2019","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=320382313""><span style=""color:blue""><u>COMMENTS</u></span></a>","Western Riverside Council of Governments","Reply comments on the Proposed Decision regarding frameworks for energy efficiency regional energy networks and market transformation (filing is considered timely because e-file system has been down and was up running on 11/19/2019)."
